Name,H,A,a,ecc
"1_Ceres",3.34,0.090,2.77,0.08
"2_Pallas",4.13,0.1587,2.77,0.23
"3_Juno",5.33,0.2383,2.67,0.26
"4_Vesta",3.20,0.4228,2.57,0.09
"5_Astraea",6.85,0.2268,2.57,0.19
