#######################################################
#
# Main Belt Asteroids
#
# Col 1 - Asteroid Name (str)
# Col 2 - Absolute Magnitude [H] (float)
# Col 3 - Geometric Albedo [A] (float)
#
#######################################################
"174_Phaedra",8.48,0.1495
"175_Andromache",8.31,0.0819
"176_Iduna",8.2,0.0834
"177_Irma",9.49,0.0527
"178_Belisana",9.3,0.2438
"179_Klytaemnestra",8.15,0.1609
"181_Eucharis",7.84,0.1135
"182_Elsa",9.12,0.2083
"183_Istria",9.68,0.1890
"184_Dejopeja",8.31,0.1897
"185_Eunike",7.62,0.0638
"186_Celuta",8.91,0.1929
"187_Lamberta",8.16,0.0566
"188_Menippe",9.22,0.2431
"189_Phthia",9.33,0.2310
"191_Kolga",9.07,0.0408
"192_Nausikaa",7.13,0.2330
"194_Prokne",7.68,0.0528
"195_Eurykleia",9.01,0.0599
"196_Philomela",6.54,0.2299
"197_Arete",9.18,0.4417
"198_Ampella",8.33,0.2517
"200_Dynamene",8.26,0.0533
"201_Penelope",8.43,0.1604
"202_Chryseis",7.42,0.2562
"203_Pompeja",8.76,0.0410
"204_Kallisto",8.89,0.2082
"205_Martha",9.23,0.0553
"207_Hedda",9.92,0.0552
"208_Lacrimosa",8.96,0.2696
"209_Dido",8.24,0.0349
"210_Isabella",9.33,0.0436
"211_Isolda",7.89,0.0602
"212_Medea",8.28,0.0465
"213_Lilaea",8.64,0.0897
"214_Aschera",9.1,0.5220
"215_Oenone",9.4,0.2044
"216_Kleopatra",7.30,0.1164
"217_Eudora",9.80,0.0484
"218_Bianca",8.60,0.1746
"219_Thusnelda",9.32,0.2009
"220_Stephania",11.1,0.0726
"221_Eos",7.67,0.1400
"222_Lucia",9.13,0.1318
"223_Rosa",9.68,0.0309
"224_Oceana",8.59,0.1694
"226_Weringia",9.9,0.2035
"227_Philosophia",9.0,0.0768
"228_Agathe",12.48,0.2082
"230_Athamantis",7.35,0.1708
"231_Vindobona",9.5,0.0545
"232_Russia",10.25,0.0494
"233_Asterope",8.21,0.0870
"234_Barbara",9.02,0.2276
"235_Carolina",8.8,0.1580
"236_Honoria",8.18,0.1271
"237_Coelestina",9.24,0.2108
"238_Hypatia",8.18,0.0428
"239_Adrastea",10.4,0.0777
"240_Vanadis",9.00,0.0411
"241_Germania",7.58,0.0575
"242_Kriemhild",9.20,0.2440
"243_Ida",9.94,0.2383
"244_Sita",11.9,0.1941
"245_Vera",7.82,0.2082
"246_Asporina",8.62,0.1744
"247_Eukrate",8.04,0.0595
"248_Lameia",10.2,0.0615
"249_Ilse",11.33,0.0428
"250_Bettina",7.58,0.2581
"251_Sophia",9.9,0.2188
